Unnamed: 0,City,Country,Population (2024),Population (2023),Growth Rate,slug
720,Bucheon,South Korea,826919,826981,-0.0001,bucheon
721,Sulaimaniya,Iraq,823199,800793,0.028,sulaimaniya
722,Xalapa,Mexico,822863,811041,0.0146,xalapa
723,Malanje,Angola,822471,783243,0.0501,malanje
724,Anqiu,China,821765,791931,0.0377,anqiu
725,Sorocaba,Brazil,821435,813320,0.01,sorocaba
726,Gaomi,China,821154,797964,0.0291,gaomi
727,Dasmarinas,Philippines,820886,802600,0.0228,dasmarinas
728,Cagayan De Oro City,Philippines,820297,803194,0.0213,cagayan-de-oro-city
729,Hanchuan,China,818761,795835,0.0288,hanchuan
730,Meishan,China,818037,796756,0.0267,meishan
731,Bologna,Italy,816848,814332,0.0031,bologna
732,Ar Rayyan,Qatar,815869,798382,0.0219,ar-rayyan
733,Thessaloniki,Greece,814980,814524,0.0006,thessaloniki
734,Muzaffarnagar,India,814491,791214,0.0294,muzaffarnagar
735,Kayamkulam,India,813379,786192,0.0346,kayamkulam
736,Nottingham,United Kingdom,813078,806757,0.0078,nottingham
737,Nakhon Ratchasima,Thailand,811446,801853,0.012,nakhon-ratchasima
738,Danyang,China,810450,789755,0.0262,danyang
739,Ibb,Yemen,810149,771514,0.0501,ibb
740,Amravati,India,808263,792620,0.0197,amravati
741,Jiaozuo,China,808079,796509,0.0145,jiaozuo
742,Vereeniging,South Africa,802900,793927,0.0113,vereeniging
743,Gorakhpur,India,801634,788276,0.0169,gorakhpur
744,Gaza,Palestine,800636,778187,0.0288,gaza
745,Frankfurt,Germany,800529,796437,0.0051,frankfurt
746,Anqing,China,795987,779535,0.0211,anqing
747,Niigata,Japan,795916,797865,-0.0024,niigata
748,Oshogbo,Nigeria,795808,771515,0.0315,oshogbo
749,Linhai,China,795777,776076,0.0254,linhai
750,Shaoguan,China,794279,784230,0.0128,shaoguan
751,Erduosi Ordoss,China,794143,774321,0.0256,erduosi-ordoss
752,Merca,Somalia,793545,760129,0.044,merca
753,Bur Sa'id,Egypt,792925,778280,0.0188,bur-sa-id
754,Kitwe,Zambia,792350,762981,0.0385,kitwe
755,Yan'an,China,791839,767188,0.0321,yan-an
756,Cuttack,India,789558,775559,0.0181,cuttack
757,Hamilton,Canada,786843,781047,0.0074,hamilton
758,Zaria,Nigeria,786197,766007,0.0264,zaria
759,Banjarmasin,Indonesia,785125,770959,0.0184,banjarmasin
760,Dengzhou,China,783041,759150,0.0315,dengzhou
761,Belgaum,India,783020,767161,0.0207,belgaum
762,Malegaon,India,781925,764628,0.0226,malegaon
763,Goma,DR Congo,781875,744247,0.0506,goma
764,Zigong,China,779684,768075,0.0151,zigong
765,Qingyuan,China,778628,766782,0.0154,qingyuan
766,Yuncheng,China,777193,754711,0.0298,yuncheng
767,Shaoyang,China,776404,761169,0.02,shaoyang
768,Yanji,China,775672,757224,0.0244,yanji
769,Tirupati,India,775455,752744,0.0302,tirupati
770,Maturin,Venezuela,775097,758185,0.0223,maturin
771,Yuxi,China,774356,750102,0.0323,yuxi
772,Akure,Nigeria,773141,744371,0.0387,akure
773,Tongliao,China,772756,756158,0.022,tongliao
774,Sialkot,Pakistan,770962,753325,0.0234,sialkot
775,Tongling,China,770032,752916,0.0227,tongling
776,Krakow,Poland,769396,769417,0.0,krakow
777,Ansan,South Korea,768822,766703,0.0028,ansan
778,Wuzhou,China,768512,751679,0.0224,wuzhou
