Unnamed: 0,City,Country,Population (2024),Population (2023),Growth Rate,slug
251,Minsk,Belarus,2064733,2057257,0.0036,minsk
252,Hiroshima,Japan,2062884,2067591,-0.0023,hiroshima
253,Haikou,China,2056646,2016092,0.0201,haikou
254,Daqing,China,2044371,2000656,0.0219,daqing
255,Lome,Togo,2042734,1981615,0.0308,lome
256,Lianyungang,China,2035631,1986439,0.0248,lianyungang
257,Yancheng Jiangsu,China,2034326,1993463,0.0205,yancheng-jiangsu
258,Panama City,Panama,2015735,1976866,0.0197,panama-city
259,Almaty,Kazakhstan,2015209,1987301,0.014,almaty
260,Semarang,Indonesia,2013571,1975306,0.0194,semarang
261,Hyderabad,Pakistan,2011964,1967684,0.0225,hyderabad
262,Valencia,Venezuela,2007265,1983445,0.012,valencia
263,Davao City,Philippines,1991457,1949400,0.0216,davao-city
264,Vienna,Austria,1990487,1975271,0.0077,vienna
265,Rabat,Morocco,1989197,1959388,0.0152,rabat
266,Ludhiana,India,1988438,1951085,0.0191,ludhiana
267,Quito,Ecuador,1986667,1956995,0.0152,quito
268,Benin City,Nigeria,1972558,1904631,0.0357,benin-city
269,La Paz,Bolivia,1965570,1935619,0.0155,la-paz
270,Baixada Santista,Brazil,1965110,1947785,0.0089,baixada-santista
271,West Yorkshire,United Kingdom,1942470,1928661,0.0072,west-yorkshire
272,Can Tho,Vietnam,1938915,1865172,0.0395,can-tho
273,Zhuhai,China,1930373,1889829,0.0215,zhuhai
274,Leon De Los Aldamas,Mexico,1924435,1898749,0.0135,leon-de-los-aldamas
275,Quanzhou,China,1920733,1869994,0.0271,quanzhou
276,Matola,Mozambique,1915035,1852405,0.0338,matola
277,Datong,China,1913674,1873693,0.0213,datong
278,Sharjah,United Arab Emirates,1872199,1830858,0.0226,sharjah
279,Madurai,India,1871912,1834279,0.0205,madurai
280,Raipur,India,1871107,1816813,0.0299,raipur
281,Adana,Turkey,1856638,1835895,0.0113,adana
282,Santa Cruz,Bolivia,1855732,1820114,0.0196,santa-cruz
283,Palembang,Indonesia,1852673,1818421,0.0188,palembang
284,Mosul,Iraq,1847691,1792020,0.0311,mosul
285,Cixi,China,1840039,1788871,0.0286,cixi
286,Meerut,India,1835403,1797805,0.0209,meerut
287,Gaziantep,Turkey,1833006,1804704,0.0157,gaziantep
288,La Laguna,Mexico,1826135,1780592,0.0256,la-laguna
289,Batam,Indonesia,1806147,1748142,0.0332,batam
290,Turin,Italy,1805727,1801944,0.0021,turin
291,Warsaw,Poland,1799451,1797516,0.0011,warsaw
292,Jiangmen,China,1797469,1768511,0.0164,jiangmen
293,Varanasi,India,1789047,1754425,0.0197,varanasi
294,Hamburg,Germany,1787280,1787520,-0.0001,hamburg
295,Montevideo,Uruguay,1781363,1774396,0.0039,montevideo
296,Budapest,Hungary,1780391,1778052,0.0013,budapest
297,Lyon,France,1774395,1761188,0.0075,lyon
298,Xiangyang,China,1772318,1742706,0.017,xiangyang
299,Bucharest,Romania,1767520,1776385,-0.005,bucharest
300,Yichang,China,1758100,1711244,0.0274,yichang
301,Yinchuan,China,1757699,1716591,0.0239,yinchuan
302,Shiraz,Iran,1742750,1720954,0.0127,shiraz
303,Kananga,DR Congo,1738716,1664442,0.0446,kananga
304,Srinagar,India,1737502,1698277,0.0231,srinagar
305,Monrovia,Liberia,1735365,1678020,0.0342,monrovia
306,Tiruppur,India,1731862,1677173,0.0326,tiruppur
307,Jamshedpur,India,1730521,1695060,0.0209,jamshedpur
308,Suqian,China,1726327,1664968,0.0369,suqian
309,Aurangabad,India,1725283,1683389,0.0249,aurangabad
310,Qinhuangdao,China,1723728,1680962,0.0254,qinhuangdao
311,Stockholm,Sweden,1719604,1700066,0.0115,stockholm
312,Anshan,China,1713452,1689499,0.0142,anshan
313,Glasgow,United Kingdom,1708147,1698088,0.0059,glasgow
314,Xining,China,1705078,1666605,0.0231,xining
315,Makassar,Indonesia,1704930,1673094,0.019,makassar
316,Hengyang,China,1702012,1661854,0.0242,hengyang
317,Novosibirsk,Russia,1701510,1694765,0.004,novosibirsk
318,Ulaanbaatar,Mongolia,1699363,1672627,0.016,ulaanbaatar
319,Onitsha,Nigeria,1694913,1623382,0.0441,onitsha
320,Jilin,China,1693701,1668785,0.0149,jilin
321,Anyang,China,1693375,1642347,0.0311,anyang
322,Auckland,New Zealand,1692770,1673220,0.0117,auckland
323,Tabriz,Iran,1678028,1660737,0.0104,tabriz
324,Phoenix,United States,1676481,1660445,0.0097,phoenix
325,Muscat,Oman,1676167,1650319,0.0157,muscat
326,Calgary,Canada,1665023,1639613,0.0155,calgary
327,Qiqihaer,China,1662407,1635458,0.0165,qiqihaer
328,N Djamena,Chad,1655618,1592324,0.0397,n-djamena
329,Marseille,France,1635707,1627549,0.005,marseille
330,Cordoba,Argentina,1625937,1611651,0.0089,cordoba
331,Jodhpur,India,1625325,1586547,0.0244,jodhpur
332,Kathmandu,Nepal,1621642,1571010,0.0322,kathmandu
333,Rosario,Argentina,1613041,1594096,0.0119,rosario
334,Tegucigalpa,Honduras,1609261,1568025,0.0263,tegucigalpa
335,Ciudad Juarez,Mexico,1604085,1582313,0.0138,ciudad-juarez
336,Harare,Zimbabwe,1603201,1578128,0.0159,harare
337,Karaj,Iran,1603011,1593608,0.0059,karaj
338,Medina,Saudi Arabia,1598976,1572571,0.0168,medina
339,Jining Shandong,China,1595963,1569560,0.0168,jining-shandong
340,Abu Dhabi,United Arab Emirates,1593284,1566999,0.0168,abu-dhabi
341,Munich,Germany,1584507,1576416,0.0051,munich
342,Ranchi,India,1584237,1547258,0.0239,ranchi
343,Daejon,South Korea,1581705,1577436,0.0027,daejon
344,Zhangjiakou,China,1568122,1536171,0.0208,zhangjiakou
345,Edmonton,Canada,1567615,1544448,0.015,edmonton
346,Mandalay,Myanmar,1563021,1531860,0.0203,mandalay
347,Gaoxiong,Taiwan,1559085,1552899,0.004,gaoxiong
348,Kota,India,1558468,1516795,0.0275,kota
349,Natal,Brazil,1556413,1535316,0.0137,natal
350,Nouakchott,Mauritania,1552146,1491958,0.0403,nouakchott
351,Jabalpur,India,1551004,1522121,0.019,jabalpur
352,Huainan,China,1538603,1512668,0.0171,huainan
353,Grande Sao Luis,Brazil,1536017,1523629,0.0081,grande-sao-luis
354,Asansol,India,1534081,1505033,0.0193,asansol
355,Philadelphia,United States,1533916,1550587,-0.0107,philadelphia
356,Yekaterinburg,Russia,1532970,1527728,0.0034,yekaterinburg
357,Gwangju,South Korea,1532902,1529472,0.0022,gwangju
358,Yiwu,China,1525749,1483320,0.0286,yiwu
359,Chaozhou,China,1520628,1496298,0.0163,chaozhou
360,Gwalior,India,1508846,1475016,0.0229,gwalior
361,Ganzhou,China,1508037,1459678,0.0331,ganzhou
362,San Antonio,United States,1506593,1489751,0.0113,san-antonio
363,Homs,Syria,1499603,1443429,0.0389,homs
364,Niamey,Niger,1496258,1437233,0.0411,niamey
365,Mombasa,Kenya,1495223,1440396,0.0381,mombasa
366,Allahabad,India,1493346,1465152,0.0192,allahabad
367,Basra,Iraq,1485156,1448124,0.0256,basra
368,Kisangani,DR Congo,1483513,1423395,0.0422,kisangani
369,San Jose,Costa Rica,1482460,1461989,0.014,san-jose
370,Amritsar,India,1480470,1451748,0.0198,amritsar
371,Taizhou Jiangsu,China,1477600,1446810,0.0213,taizhou-jiangsu
372,Chon Buri,Thailand,1472709,1454222,0.0127,chon-buri
373,Jiaxing,China,1470917,1424982,0.0322,jiaxing
374,Weihai,China,1465926,1429315,0.0256,weihai
375,Hai Phong,Vietnam,1463650,1422974,0.0286,hai-phong
376,Ottawa,Canada,1451571,1437188,0.01,ottawa
377,Zurich,Switzerland,1443349,1431538,0.0083,zurich
378,Taian Shandong,China,1441911,1416064,0.0183,taian-shandong
379,Queretaro,Mexico,1436818,1413474,0.0165,queretaro
380,Joao Pessoa,Brazil,1435125,1421827,0.0094,joao-pessoa
381,Kaifeng,China,1434463,1398262,0.0259,kaifeng
382,Cochabamba,Bolivia,1430688,1400250,0.0217,cochabamba
383,Konya,Turkey,1429935,1407632,0.0158,konya
384,Liuyang,China,1428802,1373523,0.0402,liuyang
385,Liuan,China,1427894,1378077,0.0361,liuan
386,Rizhao,China,1426583,1391258,0.0254,rizhao
387,Kharkiv,Ukraine,1418978,1421052,-0.0015,kharkiv
388,Dhanbad,India,1414532,1389776,0.0178,dhanbad
389,Nanchong,China,1412714,1377572,0.0255,nanchong
390,Dongying,China,1410791,1379377,0.0228,dongying
391,Belgrade,Serbia,1410697,1408144,0.0018,belgrade
392,Zunyi,China,1406091,1376453,0.0215,zunyi
393,Zhanjiang,China,1399310,1371998,0.0199,zhanjiang
394,Bucaramanga,Colombia,1396632,1381498,0.011,bucaramanga
395,Uyo,Nigeria,1393453,1329284,0.0483,uyo
396,Copenhagen,Denmark,1391205,1381005,0.0074,copenhagen
397,Shiyan,China,1387377,1354025,0.0246,shiyan
398,Taizhong,Taiwan,1381855,1369066,0.0093,taizhong
399,Bareilly,India,1380715,1348664,0.0238,bareilly
400,Pointe Noire,Republic of the Congo,1379368,1336387,0.0322,pointe-noire
401,Adelaide,Australia,1379280,1366783,0.0091,adelaide
402,Suweon,South Korea,1378229,1365352,0.0094,suweon
403,Mwanza,Tanzania,1378014,1310754,0.0513,mwanza
404,Mianyang Sichuan,China,1376449,1351383,0.0185,mianyang-sichuan
405,Samut Prakan,Thailand,1376146,1358871,0.0127,samut-prakan
406,Maceio,Brazil,1375984,1363510,0.0091,maceio
407,San Diego,United States,1375452,1378307,-0.0021,san-diego
408,Qom,Iran,1373800,1354174,0.0145,qom
409,Antalya,Turkey,1372400,1347240,0.0187,antalya
410,Joinville,Brazil,1361992,1348521,0.01,joinville
411,Tengzhou,China,1360779,1322916,0.0286,tengzhou
412,Yingkou,China,1355564,1323174,0.0245,yingkou
413,Ad Dammam,Saudi Arabia,1352912,1329291,0.0178,ad-dammam
414,Suzhou,China,1349994,1310433,0.0302,suzhou
415,Tanger,Morocco,1348848,1314178,0.0264,tanger
416,Freetown,Sierra Leone,1347559,1309168,0.0293,freetown
417,Helsinki,Finland,1346810,1337786,0.0067,helsinki
418,Aligarh,India,1346018,1312369,0.0256,aligarh
419,Moradabad,India,1335966,1301740,0.0263,moradabad
420,Pekan Baru,Indonesia,1334532,1303355,0.0239,pekan-baru
421,Maoming,China,1333930,1303900,0.023,maoming
422,Lilongwe,Malawi,1333096,1276316,0.0445,lilongwe
423,Porto,Portugal,1329301,1324652,0.0035,porto
424,Prague,Czech Republic,1327947,1323339,0.0035,prague
425,Astana,Kazakhstan,1324111,1291280,0.0254,astana
426,Jieyang,China,1320779,1282479,0.0299,jieyang
427,Fushun Liaoning,China,1317276,1304565,0.0097,fushun-liaoning
428,Mysore,India,1316461,1288245,0.0219,mysore
429,Abomey Calavi,Benin,1314916,1252890,0.0495,abomey-calavi
430,Ruian,China,1314784,1281790,0.0257,ruian
431,Fes,Morocco,1313311,1290039,0.018,fes
432,Port Elizabeth,South Africa,1312631,1295928,0.0129,port-elizabeth
433,Florianopolis,Brazil,1309895,1294486,0.0119,florianopolis
434,Ahvaz,Iran,1309372,1293619,0.0122,ahvaz
435,Bukavu,DR Congo,1308469,1248783,0.0478,bukavu
436,Nnewi,Nigeria,1300993,1239186,0.0499,nnewi
437,Kazan,Russia,1296232,1291884,0.0034,kazan
438,Jinhua,China,1296065,1257941,0.0303,jinhua
439,Dallas,United States,1295447,1297495,-0.0016,dallas
440,San Luis Potosi,Mexico,1292133,1273325,0.0148,san-luis-potosi
441,Baoji,China,1290231,1261077,0.0231,baoji
442,Durg Bhilainagar,India,1289673,1266034,0.0187,durg-bhilainagar
443,Bhubaneswar,India,1289254,1257642,0.0251,bhubaneswar
444,Kigali,Rwanda,1287952,1247551,0.0324,kigali
445,Sofia,Bulgaria,1287540,1288114,-0.0004,sofia
446,Pingdingshan Henan,China,1285750,1256581,0.0232,pingdingshan-henan
447,Dublin,Ireland,1284551,1270172,0.0113,dublin
448,Puning,China,1282756,1254160,0.0228,puning
449,Chifeng,China,1279544,1252414,0.0217,chifeng
450,Zhuzhou,China,1277238,1254519,0.0181,zhuzhou
451,Bujumbura,Burundi,1277050,1206767,0.0582,bujumbura
452,Zhenjiang Jiangsu,China,1275395,1250668,0.0198,zhenjiang-jiangsu
453,Liupanshui,China,1272872,1230644,0.0343,liupanshui
454,Barquisimeto,Venezuela,1267872,1254192,0.0109,barquisimeto
455,Islamabad,Pakistan,1266792,1232447,0.0279,islamabad
456,Huaibei,China,1264856,1236271,0.0231,huaibei
457,Tasikmalaya,Indonesia,1258124,1213778,0.0365,tasikmalaya
458,Maracay,Venezuela,1256553,1242945,0.0109,maracay
459,Bogor,Indonesia,1256155,1231445,0.0201,bogor
460,Da Nang,Vietnam,1253228,1220634,0.0267,da-nang
461,Nizhniy Novgorod,Russia,1250302,1251332,-0.0008,nizhniy-novgorod
462,Nanyang Henan,China,1250300,1224629,0.021,nanyang-henan
463,Xiangtan Hunan,China,1249380,1223912,0.0208,xiangtan-hunan
464,Pizhou,China,1247177,1207275,0.0331,pizhou
465,Tiruchirappalli,India,1244978,1221960,0.0188,tiruchirappalli
466,Chelyabinsk,Russia,1243883,1240926,0.0024,chelyabinsk
467,Mendoza,Argentina,1242319,1226427,0.013,mendoza
468,Luohe,China,1241152,1197935,0.0361,luohe
469,Xiongan,China,1240158,1183042,0.0483,xiongan
470,Chandigarh,India,1239699,1214775,0.0205,chandigarh
471,Merida,Mexico,1239654,1220603,0.0156,merida
472,Jinzhou,China,1238377,1215376,0.0189,jinzhou
473,Benxi,China,1237550,1216852,0.017,benxi
474,Binzhou,China,1233584,1200222,0.0278,binzhou
475,Aba,Nigeria,1230407,1188803,0.035,aba
476,Chiang Mai,Thailand,1228773,1213348,0.0127,chiang-mai
477,Bazhong,China,1225591,1175989,0.0422,bazhong
478,Quetta,Pakistan,1221495,1190348,0.0262,quetta
479,Kaduna,Nigeria,1221451,1187398,0.0287,kaduna
480,Guilin,China,1218067,1196841,0.0177,guilin
481,Saharanpur,India,1207856,1171689,0.0309,saharanpur
482,Hubli Dharwad,India,1205428,1181194,0.0205,hubli-dharwad
483,Yueqing,China,1201400,1169864,0.027,yueqing
484,Guwahati,India,1199455,1176330,0.0197,guwahati
485,Mexicali,Mexico,1196982,1178477,0.0157,mexicali
486,Salem,India,1194757,1169953,0.0212,salem
487,Maputo,Mozambique,1193253,1162793,0.0262,maputo
488,Tripoli,Libya,1192436,1183292,0.0077,tripoli
489,Haifa,Israel,1186475,1174429,0.0103,haifa
490,Bandar Lampung,Indonesia,1186233,1162242,0.0206,bandar-lampung
491,Bobo Dioulasso,Burkina Faso,1185053,1128646,0.05,bobo-dioulasso
492,Amsterdam,Netherlands,1181817,1174025,0.0066,amsterdam
493,Shimkent,Kazakhstan,1181020,1155073,0.0225,shimkent
494,Omsk,Russia,1180677,1180745,-0.0001,omsk
495,Aguascalientes,Mexico,1179301,1161448,0.0154,aguascalientes
496,Hargeysa,Somalia,1176617,1127198,0.0438,hargeysa
497,Krasnoyarsk,Russia,1173095,1166792,0.0054,krasnoyarsk
498,Xinxiang,China,1160840,1140599,0.0177,xinxiang
499,Siliguri,India,1159371,1126249,0.0294,siliguri
500,Wenling,China,1159259,1131361,0.0247,wenling
501,Samara,Russia,1154451,1155732,-0.0011,samara
502,Zaozhuang,China,1150859,1133629,0.0152,zaozhuang
503,Cologne,Germany,1149014,1143715,0.0046,cologne
504,Yongin,South Korea,1147967,1135671,0.0108,yongin
505,Ufa,Russia,1146786,1144799,0.0017,ufa
506,Fuyang,China,1146343,1120694,0.0229,fuyang
507,Ikorodu,Nigeria,1145224,1093308,0.0475,ikorodu
508,Bien Hoa,Vietnam,1142997,1110824,0.029,bien-hoa
509,Jalandhar,India,1142682,1118826,0.0213,jalandhar
510,Panjin,China,1142542,1120675,0.0195,panjin
511,Ma'anshan,China,1140264,1112680,0.0248,ma-anshan
512,Cuernavaca,Mexico,1140169,1123843,0.0145,cuernavaca
513,Rostov on Don,Russia,1139641,1138854,0.0007,rostov-on-don
514,Chihuahua,Mexico,1135342,1116295,0.0171,chihuahua
515,Fuzhou Jiangxi,China,1131718,1100271,0.0286,fuzhou-jiangxi
516,Tshikapa,DR Congo,1131226,1077108,0.0502,tshikapa
517,Shangrao,China,1130887,1106736,0.0218,shangrao
518,Samarinda,Indonesia,1128176,1100324,0.0253,samarinda
519,Bishkek,Kyrgyzstan,1127721,1104742,0.0208,bishkek
520,Zhaoqing,China,1127601,1103202,0.0221,zhaoqing
521,San Salvador,El Salvador,1123376,1116052,0.0066,san-salvador
522,Yichun Jiangxi,China,1122041,1078630,0.0402,yichun-jiangxi
523,Chenzhou,China,1119791,1084969,0.0321,chenzhou
524,Sekondi Takoradi,Ghana,1119534,1077929,0.0386,sekondi-takoradi
525,Leshan,China,1116497,1087409,0.0267,leshan
526,Aden,Yemen,1116193,1079670,0.0338,aden
527,Goyang,South Korea,1114079,1105283,0.008,goyang
528,Diyarbakir,Turkey,1113333,1096937,0.0149,diyarbakir
529,Asmara,Eritrea,1111748,1072666,0.0364,asmara
530,Dezhou,China,1108356,1080680,0.0256,dezhou
531,Jingzhou Hubei,China,1108067,1089886,0.0167,jingzhou-hubei
532,Managua,Nicaragua,1107118,1094510,0.0115,managua
533,Johor Bahru,Malaysia,1107001,1086214,0.0191,johor-bahru
534,Kermanshah,Iran,1101611,1084623,0.0157,kermanshah
535,Nyala,Sudan,1101314,1056952,0.042,nyala
536,Oslo,Norway,1100868,1085992,0.0137,oslo
537,Kirkuk,Iraq,1100390,1074884,0.0237,kirkuk
538,Yerevan,Armenia,1097542,1094813,0.0025,yerevan
539,Cartagena,Colombia,1096463,1087599,0.0082,cartagena
540,Changshu,China,1093687,1059902,0.0319,changshu
541,Huzhou,China,1091811,1067651,0.0226,huzhou
542,Xuchang,China,1091744,1063876,0.0262,xuchang
543,Solapur,India,1088131,1070322,0.0166,solapur
544,Lille,France,1085199,1079120,0.0056,lille
545,Mersin,Turkey,1084817,1069402,0.0144,mersin
546,Tbilisi,Georgia,1084471,1082245,0.0021,tbilisi
547,Perm,Russia,1084120,1081768,0.0022,perm
548,Voronezh,Russia,1083724,1080808,0.0027,voronezh
549,Denpasar,Indonesia,1075244,1053041,0.0211,denpasar
550,Toulouse,France,1070746,1060460,0.0097,toulouse
551,Blantyre Limbe,Malawi,1070625,1030974,0.0385,blantyre-limbe
552,Aracaju,Brazil,1070122,1056986,0.0124,aracaju
553,Marrakech,Morocco,1067172,1049690,0.0167,marrakech
554,Qujing,China,1066897,1038964,0.0269,qujing
555,Yueyang,China,1064166,1048889,0.0146,yueyang
556,Ilorin,Nigeria,1063713,1030498,0.0322,ilorin
557,Tampico,Mexico,1062567,1047251,0.0146,tampico
558,Antwerp,Belgium,1061089,1057215,0.0037,antwerp
559,Teresina,Brazil,1059657,1050459,0.0088,teresina
560,Guiping,China,1055921,1020399,0.0348,guiping
561,Warangal,India,1055604,1031090,0.0238,warangal
562,Changwon,South Korea,1055373,1054442,0.0009,changwon
563,Padang,Indonesia,1052849,1033645,0.0186,padang
564,Saltillo,Mexico,1050320,1034126,0.0157,saltillo
565,Xintai,China,1049486,1023756,0.0251,xintai
566,Cancun,Mexico,1045005,1022604,0.0219,cancun
567,Cebu City,Philippines,1042613,1024945,0.0172,cebu-city
568,San Miguel De Tucuman,Argentina,1039226,1026767,0.0121,san-miguel-de-tucuman
569,Hamah,Syria,1034498,995747,0.0389,hamah
570,Acapulco De Juarez,Mexico,1032772,1018976,0.0135,acapulco-de-juarez
571,Warri,Nigeria,1031425,986921,0.0451,warri
572,Kayseri,Turkey,1025507,1013240,0.0121,kayseri
573,Chengde,China,1024521,993097,0.0316,chengde
574,Owerri,Nigeria,1022922,983352,0.0402,owerri
575,Rotterdam,Netherlands,1021919,1018012,0.0038,rotterdam
576,Pingxiang Jiangxi,China,1021575,999721,0.0219,pingxiang-jiangxi
577,Zhucheng,China,1019600,991208,0.0286,zhucheng
578,Songkhla,Thailand,1017784,1005007,0.0127,songkhla
579,Valparaiso,Chile,1016585,1008599,0.0079,valparaiso
580,Dehradun,India,1016402,991876,0.0247,dehradun
581,Nonthaburi,Thailand,1013672,1000947,0.0127,nonthaburi
582,Leiyang,China,1013191,978327,0.0356,leiyang
583,Dushanbe,Tajikistan,1012794,986899,0.0262,dushanbe
584,Nampula,Mozambique,1012582,969322,0.0446,nampula
585,Misratah,Libya,1011119,984193,0.0274,misratah
586,Krasnodar,Russia,1010552,1001155,0.0094,krasnodar
587,Laiwu,China,1009727,986248,0.0238,laiwu
588,Bordeaux,France,1009594,1000475,0.0091,bordeaux
589,Jixi Heilongjiang,China,1008989,993175,0.0159,jixi-heilongjiang
590,San Pedro Sula,Honduras,1008220,982021,0.0267,san-pedro-sula
591,Odesa,Ukraine,1007596,1007716,-0.0001,odesa
592,Jiujiang,China,1004247,982777,0.0218,jiujiang
593,Lubango,Angola,1003016,958548,0.0464,lubango
594,Morelia,Mexico,1002461,988744,0.0139,morelia
595,Jos,Nigeria,1001155,970129,0.032,jos
596,Sylhet,Bangladesh,999374,964291,0.0364,sylhet
597,Agadir,Morocco,998146,979248,0.0193,agadir
598,Volgograd,Russia,993352,995078,-0.0017,volgograd
599,Mudanjiang,China,992414,975348,0.0175,mudanjiang
600,Jacksonville,United States,990931,981125,0.01,jacksonville
601,Guigang,China,990310,967428,0.0237,guigang
602,Fort Worth,United States,989842,973275,0.017,fort-worth
603,Najaf,Iraq,987814,958487,0.0306,najaf
604,Bangui,Central African Republic,985965,958335,0.0288,bangui
605,Rajshahi,Bangladesh,983707,961991,0.0226,rajshahi
606,Hengshui,China,983694,955663,0.0293,hengshui
607,Austin,United States,983126,978786,0.0044,austin
608,Jerusalem,Israel,983097,969804,0.0137,jerusalem
