code,nom,typeLiaison,zone,arrondissement,departement,region,type,rangChefLieu,siren,codesPostaux,population,longitude,latitude,slug,anciensCodes,chefLieu,commune
06019,Blausasc,0.0,metro,062,06,93,commune-actuelle,0.0,210600193.0,['06440'],1664.0,7.360668470893223,43.79406555188401,blausasc,,,
06020,La Bollène-Vésubie,3.0,metro,062,06,93,commune-actuelle,0.0,210600201.0,['06450'],659.0,7.371964615789519,43.99563174009626,la-bollene-vesubie,,,
06021,Bonson,0.0,metro,062,06,93,commune-actuelle,0.0,210600219.0,['06830'],728.0,7.182730537891493,43.86203232331248,bonson,,,
06022,Bouyon,0.0,metro,061,06,93,commune-actuelle,0.0,210600227.0,['06510'],550.0,7.126047551381649,43.82540939266005,bouyon,,,
06023,Breil-sur-Roya,0.0,metro,062,06,93,commune-actuelle,0.0,210600235.0,['06540'],2292.0,7.503725902298935,43.94029195282498,breil-sur-roya,,,
06024,Briançonnet,0.0,metro,061,06,93,commune-actuelle,0.0,210600243.0,['06850'],168.0,6.745003427507225,43.86510765228785,brianconnet,,,
06025,Le Broc,2.0,metro,061,06,93,commune-actuelle,0.0,210600250.0,['06510'],1432.0,7.159221085338492,43.815147549942665,le-broc,,,
06026,Cabris,0.0,metro,061,06,93,commune-actuelle,0.0,210600268.0,['06530'],1421.0,6.87841170163689,43.660066412794706,cabris,,,
06027,Cagnes-sur-Mer,0.0,metro,061,06,93,commune-actuelle,0.0,210600276.0,['06800'],52852.0,7.152419190534663,43.67216899846964,cagnes-sur-mer,,,
06028,Caille,0.0,metro,061,06,93,commune-actuelle,0.0,210600284.0,['06750'],423.0,6.756627916955897,43.76892905076225,caille,,,
06029,Cannes,0.0,metro,061,06,93,commune-actuelle,0.0,210600292.0,"['06150', '06400']",74040.0,7.004858437495526,43.55210887687381,cannes,,,
06030,Le Cannet,2.0,metro,061,06,93,commune-actuelle,0.0,210600300.0,['06110'],40198.0,7.005117794752116,43.57293948287817,le-cannet,,,
06031,Cantaron,0.0,metro,062,06,93,commune-actuelle,0.0,210600318.0,['06340'],1276.0,7.312953174455294,43.77075082898807,cantaron,,,
